code,category,family,status,fetched_at
AVUS,Large Blend,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVXC,Diversified Emerging Mkts,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVUV,Small Value,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVXX,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:08:18+00:00
AWAY,Consumer Cyclical,Amplify ETFs,ok,2026-07-19T07:08:18+00:00
AXPG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:18+00:00
AXTC,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:18+00:00
AXTU,Trading--Leveraged Equity,Rex,ok,2026-07-19T07:08:18+00:00
AXTL,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:18+00:00
AZTD,Global Small/Mid Stock,Aztlan ETFs,ok,2026-07-19T07:08:19+00:00
AXTX,Trading--Leveraged Equity,AXS,ok,2026-07-19T07:08:19+00:00
AZYY,Derivative Income,Graniteshares,ok,2026-07-19T07:08:19+00:00
BAB,Muni National Long,Invesco,ok,2026-07-19T07:08:19+00:00
BABC,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:19+00:00
BABO,Derivative Income,YieldMax ETFs,ok,2026-07-19T07:08:19+00:00
BABU,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:08:19+00:00
BABX,Trading--Leveraged Equity,Graniteshares,ok,2026-07-19T07:08:20+00:00
BABW,Trading--Miscellaneous,Roundhill Investments,ok,2026-07-19T07:08:20+00:00
BAFE,Large Blend,Brown Advisory,ok,2026-07-19T07:08:20+00:00
BAGY,Digital Assets,Amplify ETFs,ok,2026-07-19T07:08:20+00:00
BAI,Technology,iShares,ok,2026-07-19T07:08:20+00:00
BAIV,Foreign Large Value,Brown Advisory,ok,2026-07-19T07:08:20+00:00
BAIG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:20+00:00
BALI,Derivative Income,BlackRock,ok,2026-07-19T07:08:20+00:00
BALQ,Derivative Income,iShares,ok,2026-07-19T07:08:21+00:00
BALT,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:08:21+00:00
BAMA,Moderate Allocation,Brookstone Asset Management,ok,2026-07-19T07:08:21+00:00
BAMB,Intermediate Core Bond,Brookstone Asset Management,ok,2026-07-19T07:08:21+00:00
