code,name,issuer,index,market,leverage,hedge
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,RISE,CHINA,CHINA,1.0,unhedged
104520,KIWOOM 블루칩,KIWOOM,KOSPI200,KR,1.0,none
446700,RISE 배터리 리사이클링,RISE,KR_BATTERY,KR,1.0,none
371870,ACE 차이나항셍테크,ACE,CHINA_HSCEI,CHINA,1.0,unhedged
0018Z0,RISE 미국양자컴퓨팅,RISE,QUANTUM,US,1.0,unhedged
229720,KODEX KTOP30,KODEX,KOSPI200,KR,1.0,none
422260,VITA MZ소비액티브,VITA,KR_TECH,KR,1.0,none
0000H0,KODEX 인도Nifty미드캡100,KODEX,INDIA_NIFTY50,INDIA,1.0,unhedged
432840,HANARO 미국S&P500,HANARO,SP500,US,1.0,unhedged
183710,RISE 주식혼합,RISE,KR_MIXED_STOCK_BOND,KR,1.0,none
416090,ACE 중국과창판STAR50,ACE,CHINA_STAR50,CHINA,1.0,unhedged
482030,KoAct 반도체&2차전지핵심소재액티브,KoAct,KR_SEMICONDUCTOR,KR,1.0,none
304760,HANARO KRX300,HANARO,KRX300,KR,1.0,none
469160,ACE 일본반도체,ACE,JAPAN_TOPIX,JAPAN,1.0,unhedged
281990,RISE 중소형고배당,RISE,KR_DIVIDEND,KR,1.0,none
280320,ACE 미국IT인터넷(합성 H),ACE,US_TECH,US,1.0,hedge
385710,TIME K이노베이션액티브,TIME,KR_TECH,KR,1.0,none
266410,KODEX 필수소비재,KODEX,HYDROGEN,KR,1.0,none
404120,TIME K신재생에너지액티브,TIME,CLEAN_ENERGY,KR,1.0,none
494180,TIME 글로벌소비트렌드액티브,TIME,MSCI_WORLD,GLOBAL,1.0,unhedged
381560,HANARO Fn전기&수소차,HANARO,CLEAN_ENERGY,KR,1.0,none
487950,KODEX 대만테크고배당다우존스,KODEX,DJ_US_DIVIDEND,US,1.0,unhedged
227830,PLUS 코스피,PLUS,KOSPI,KR,1.0,none
354240,RISE 미국고정배당우선증권,RISE,US_DIVIDEND,US,1.0,unhedged
457700,KODEX 53-09 국고채액티브,KODEX,KR_TREASURY,KR,1.0,none
